timestamp|did|unr-file-name|unr-title|unr-desc|creator|date-inst|site-name|site-address|lat-lon|sign-manf|sign-owner|lit-unlit|time-day|subj-fast|print-pub|rights|format|dcmi|prov|proj-name|unr-cit|corr-guide|dig-pub|contrib|int-ext|rights-owner|date-img|BLANK28
"8/6/2021 19:45"|NNN000936|"DSC_0661.Trip4.JPG; DSC_0664.Trip4.JPG"|"Nugget Casino Resort wall mounted sign, Sparks, Nevada"|"<p>A wall mounted sign for the entrance of The Nugget at night with lit neon.</p>"|"Durham, Will"|XXXX|"The Nugget"|"1100 Nugget Ave, Sparks, NV 89431"|"39.5331773, -119.7557306"|||lit|night|"Neon Sign -- http://id.worldcat.org/fast/1035830, Neon Lighting -- http://id.worldcat.org/fast/1035826, Neon Sculpture -- http://id.worldcat.org/fast/1035829, Casinos -- http://id.worldcat.org/fast/848246, Hotels -- http://id.worldcat.org/fast/961767"||https://creativecommons.org/licenses/by/4.0/|image/jpeg|image|"Digitized materials: physical originals are not held by UNLV Special Collections and Archives"|"Northern Nevada Neon"|"(TBD by UNLV)"|"(TBD by UNLV)"|"University of Nevada, Las Vegas University Libraries"||Exterior|||2020
"8/6/2021 19:50"|NNN000937|DSC_0668.Trip4.JPG|"Nugget Casino Resort wall mounted sign, Sparks, Nevada"|"<p>A wall mounted sign with lit neon for The Nugget at night.</p>"|"Durham, Will"|XXXX|"The Nugget"|"1100 Nugget Ave, Sparks, NV 89431"|"39.5331773, -119.7557306"|||lit|night|"Neon Sign -- http://id.worldcat.org/fast/1035830, Neon Lighting -- http://id.worldcat.org/fast/1035826, Neon Sculpture -- http://id.worldcat.org/fast/1035829, Casinos -- http://id.worldcat.org/fast/848246, Hotels -- http://id.worldcat.org/fast/961767"||https://creativecommons.org/licenses/by/4.0/|image/jpeg|image|"Digitized materials: physical originals are not held by UNLV Special Collections and Archives"|"Northern Nevada Neon"|"(TBD by UNLV)"|"(TBD by UNLV)"|"University of Nevada, Las Vegas University Libraries"||Exterior|||2020
"8/6/2021 20:16"|NNN000938|DSC_0832.Trip4.JPG|"O'Brien's Moving and Storage flag mounted wall sign, Sparks, Nevada"|"<p>A flag mounted wall sign for O'Brien's Moving and Storage during the day with unlit neon.</p>"|"Durham, Will"|XXXX|"O'Brien's Moving and Storage"|"2277 Glendale Ave, Sparks, NV 89431"|"39.5274371, -119.7751438"|||unlit|day|"Neon Sign -- http://id.worldcat.org/fast/1035830, Neon Lighting -- http://id.worldcat.org/fast/1035826, Neon Sculpture -- http://id.worldcat.org/fast/1035829"||https://creativecommons.org/licenses/by/4.0/|image/jpeg|image|"Digitized materials: physical originals are not held by UNLV Special Collections and Archives"|"Northern Nevada Neon"|"(TBD by UNLV)"|"(TBD by UNLV)"|"University of Nevada, Las Vegas University Libraries"||Exterior|||2016~/2020~
"8/6/2021 20:18"|NNN000939|DSC_0851.Trip4.JPG|"Ross Plaza mounted sign, Sparks, Nevada"|"<p>A mounted sign for Ross Plaza during the day with unlit neon.</p>"|"Durham, Will"|XXXX||||||unlit|day|"Neon Sign -- http://id.worldcat.org/fast/1035830, Neon Lighting -- http://id.worldcat.org/fast/1035826, Neon Sculpture -- http://id.worldcat.org/fast/1035829"||https://creativecommons.org/licenses/by/4.0/|image/jpeg|image|"Digitized materials: physical originals are not held by UNLV Special Collections and Archives"|"Northern Nevada Neon"|"(TBD by UNLV)"|"(TBD by UNLV)"|"University of Nevada, Las Vegas University Libraries"||Exterior|||2016~/2020~
"8/6/2021 20:23"|NNN000940|"DSC_0835.Trip4.JPG; DSC_0838.Trip4.JPG"|"Sparks Auto Sales"|"<p>Views of the mounted sign for Sparks Auto Sales during the day with unlit neon.</p>"|"Durham, Will"|XXXX|"Sparks Auto Sales"|"400 Rock Blvd, Sparks, NV 89431"|"39.5373638, -119.7651443"|||unlit|day|"Neon Sign -- http://id.worldcat.org/fast/1035830, Neon Lighting -- http://id.worldcat.org/fast/1035826, Neon Sculpture -- http://id.worldcat.org/fast/1035829"||https://creativecommons.org/licenses/by/4.0/|image/jpeg|image|"Digitized materials: physical originals are not held by UNLV Special Collections and Archives"|"Northern Nevada Neon"|"(TBD by UNLV)"|"(TBD by UNLV)"|"University of Nevada, Las Vegas University Libraries"||Exterior|||22016~/2020~
"8/6/2021 20:37"|NNN000941|"DSC_0844.Trip4.JPG; DSC_0846.Trip4.JPG"|"Sparks Florist mounted sign, Sparks, Nevada"|"<p>Views of the mounted sign for the Sparks Florist during the day with unlit neon.</p>"|"Durham, Will"|XXXX|"Sparks Florist"|||||unlit|day|"Neon Sign -- http://id.worldcat.org/fast/1035830, Neon Lighting -- http://id.worldcat.org/fast/1035826, Neon Sculpture -- http://id.worldcat.org/fast/1035829"||https://creativecommons.org/licenses/by/4.0/|image/jpeg|image|"Digitized materials: physical originals are not held by UNLV Special Collections and Archives"|"Northern Nevada Neon"|"(TBD by UNLV)"|"(TBD by UNLV)"|"University of Nevada, Las Vegas University Libraries"||Exterior|||2016~/2020~
"8/6/2021 21:07"|NNN000943|"DSC_0672.Trip4.JPG; DSC_0680.Trip4.JPG"|"Western Village Inn & Casino double mounted sign, Sparks, Nevada"|"<p>Views of the double mounted sign for the Western Village at night with lit neon.</p>"|"Durham, Will"|XXXX|"Western Village"|"815 Nichols Blvd, Sparks, NV 89434"|"39.5344459, -119.7344361"|||lit|night|"Neon Sign -- http://id.worldcat.org/fast/1035830, Neon Lighting -- http://id.worldcat.org/fast/1035826, Neon Sculpture -- http://id.worldcat.org/fast/1035829, Casinos -- http://id.worldcat.org/fast/848246, Hotels -- http://id.worldcat.org/fast/961767"||https://creativecommons.org/licenses/by/4.0/|image/jpeg|image|"Digitized materials: physical originals are not held by UNLV Special Collections and Archives"|"Northern Nevada Neon"|"(TBD by UNLV)"|"(TBD by UNLV)"|"University of Nevada, Las Vegas University Libraries"||Exterior|||2016~/2020~
"8/6/2021 21:12"|NNN000944|DSC_0681.Trip4.JPG|"Western Village Inn & Casino wall mounted signs, Sparks, Nevada"|"<p>Wall mounted signs reading ""registration"" for the Western Village at night with lit neon.</p>"|"Durham, Will"|XXXX|"Western Village"|"815 Nichols Blvd, Sparks, NV 89434"|"39.5344459, -119.7344361"|||lit|night|"Neon Sign -- http://id.worldcat.org/fast/1035830, Neon Lighting -- http://id.worldcat.org/fast/1035826, Neon Sculpture -- http://id.worldcat.org/fast/1035829, Casinos -- http://id.worldcat.org/fast/848246, Hotels -- http://id.worldcat.org/fast/961767"||https://creativecommons.org/licenses/by/4.0/|image/jpeg|image|"Digitized materials: physical originals are not held by UNLV Special Collections and Archives"|"Northern Nevada Neon"|"(TBD by UNLV)"|"(TBD by UNLV)"|"University of Nevada, Las Vegas University Libraries"||Exterior|||2016~/2020~
"8/6/2021 21:38"|NNN000945|"DSC_0834.Trip4.JPG; DSC_0848.Trip4.JPG"|"Landrum Café mounted sign, Sparks, Nevada"|"<p>A mounted sign for the Landrum Café during the day with unlit neon. The café is permanently closed.</p>"|"Durham, Will"|XXXX||||||unlit|day|"Neon Sign -- http://id.worldcat.org/fast/1035830, Neon Lighting -- http://id.worldcat.org/fast/1035826, Neon Sculpture -- http://id.worldcat.org/fast/1035829, Restaurant -- http://id.worldcat.org/fast/1095907"||https://creativecommons.org/licenses/by/4.0/|image/jpeg|image|"Digitized materials: physical originals are not held by UNLV Special Collections and Archives"|"Northern Nevada Neon"|"(TBD by UNLV)"|"(TBD by UNLV)"|"University of Nevada, Las Vegas University Libraries"||Exterior|||2016~/2020~
"8/10/2021 16:45"|NNN000946|DSC_0841.Trip4.JPG|"Scolari's wall mounted sign, Sparks, Nevada"|"<p>A wall mounted sign for Scolari's in Sparks with unlit neon.</p>"|"Durham, Will"|XXXX||"950 Holman Way, Sparks, NV 89431"|"39.5502889, -119.754638"|||unlit|day|"Neon Sign -- http://id.worldcat.org/fast/1035830, Neon Lighting -- http://id.worldcat.org/fast/1035826, Neon Sculpture -- http://id.worldcat.org/fast/1035829, Grocers -- http://id.worldcat.org/fast/948031"||https://creativecommons.org/licenses/by/4.0/|image/jpeg|image|"Digitized materials: physical originals are not held by UNLV Special Collections and Archives"|"Northern Nevada Neon"|"(TBD by UNLV)"|"(TBD by UNLV)"|"University of Nevada, Las Vegas University Libraries"||Exterior|||2020
