timestamp|did-unr|unr-file-name|unr-title|unr-desc|creator|date-inst|site-name|site-address|lat-lon|sign-manf|sign-owner|lit-unlit|time-day|subj-fast|print-pub|rights|format|dcmi|prov|proj-name|unr-cit|corr-guide|dig-pub|contrib|int-ext|blank-1|staff-notes|date-img|blank-2|title-code|title-full
|pho003802||||||||||||||||||||||||||||||
|pho003803||||||||||||||||||||||||||||||
|pho003804||||||||||||||||||||||||||||||
|pho003805||||||||||||||||||||||||||||||
|pho003806||||||||||||||||||||||||||||||
|pho003807||||||||||||||||||||||||||||||
|pho003808||||||||||||||||||||||||||||||
|pho003809||||||||||||||||||||||||||||||
|pho003810||||||||||||||||||||||||||||||
|pho003811||||||||||||||||||||||||||||||
|pho003812||||||||||||||||||||||||||||||
|pho003813||||||||||||||||||||||||||||||
|pho003814||||||||||||||||||||||||||||||
|pho003815||||||||||||||||||||||||||||||
|pho003816||||||||||||||||||||||||||||||
|pho003817||||||||||||||||||||||||||||||
|pho003818||||||||||||||||||||||||||||||
|pho003819||||||||||||||||||||||||||||||
|pho003820||||||||||||||||||||||||||||||
|pho003821||||||||||||||||||||||||||||||
|pho003822||||||||||||||||||||||||||||||
|pho003823||||||||||||||||||||||||||||||
|pho003824||||||||||||||||||||||||||||||
|pho003825||||||||||||||||||||||||||||||
|pho003826||||||||||||||||||||||||||||||
|pho003827||||||||||||||||||||||||||||||
|pho003828||||||||||||||||||||||||||||||
|pho003829||||||||||||||||||||||||||||||
|pho003830||||||||||||||||||||||||||||||
|pho003831||||||||||||||||||||||||||||||
|pho003832||||||||||||||||||||||||||||||
|pho003833||||||||||||||||||||||||||||||
|pho003834||||||||||||||||||||||||||||||
|pho003835||||||||||||||||||||||||||||||
|pho003836||||||||||||||||||||||||||||||
|pho003837||||||||||||||||||||||||||||||
|pho003838||||||||||||||||||||||||||||||
|pho003839||||||||||||||||||||||||||||||
|pho003840||||||||||||||||||||||||||||||
|pho003841||||||||||||||||||||||||||||||
|pho003842||||||||||||||||||||||||||||||
|pho003843||||||||||||||||||||||||||||||
|pho003844||||||||||||||||||||||||||||||
|pho003845||||||||||||||||||||||||||||||
|pho003846||||||||||||||||||||||||||||||
|pho003847||||||||||||||||||||||||||||||
|pho003848||||||||||||||||||||||||||||||
|pho003849||||||||||||||||||||||||||||||
|pho003850||||||||||||||||||||||||||||||
|pho003851||||||||||||||||||||||||||||||
|pho003852||||||||||||||||||||||||||||||
|pho003853||||||||||||||||||||||||||||||
|pho003854||||||||||||||||||||||||||||||
|pho003855||||||||||||||||||||||||||||||
|pho003856||||||||||||||||||||||||||||||
|pho003857||||||||||||||||||||||||||||||
|pho003858||||||||||||||||||||||||||||||
|pho003859||||||||||||||||||||||||||||||
|pho003860||||||||||||||||||||||||||||||
|pho003861||||||||||||||||||||||||||||||
|pho003862||||||||||||||||||||||||||||||
|pho003863||||||||||||||||||||||||||||||
|pho003864||||||||||||||||||||||||||||||
|pho003865||||||||||||||||||||||||||||||
|pho003866||||||||||||||||||||||||||||||
|pho003867||||||||||||||||||||||||||||||
|pho003868||||||||||||||||||||||||||||||
|pho003869|||||||||||lit|night|Neon Sign -- http://id.worldcat.org/fast/1035830, Neon Lighting -- http://id.worldcat.org/fast/1035826, Neon Sculpture – http://id.worldcat.org/fast/1035829, Bars (Drinking establishments) -- http://id.worldcat.org/fast/827779|||||||||||Exterior|||1986|||
|pho003870|||||||||||lit|night|Neon Sign -- http://id.worldcat.org/fast/1035830, Neon Lighting -- http://id.worldcat.org/fast/1035826, Neon Sculpture – http://id.worldcat.org/fast/1035829, Motels -- http://id.worldcat.org/fast/1026838 |||||||||||Exterior|||1986|||
|pho003871|||||||||||lit|night|Neon Sign -- http://id.worldcat.org/fast/1035830, Neon Lighting -- http://id.worldcat.org/fast/1035826, Neon Sculpture – http://id.worldcat.org/fast/1035829, Motels -- http://id.worldcat.org/fast/1026838 |||||||||||Exterior|||1986|||
|pho003872|||||||||||lit|night|Neon Sign -- http://id.worldcat.org/fast/1035830, Neon Lighting -- http://id.worldcat.org/fast/1035826, Neon Sculpture – http://id.worldcat.org/fast/1035829, Motels -- http://id.worldcat.org/fast/1026838 |||||||||||Exterior|||1986|||
|pho003873|||||||||||unlit|day|Neon Sign -- http://id.worldcat.org/fast/1035830, Neon Lighting -- http://id.worldcat.org/fast/1035826, Neon Sculpture – http://id.worldcat.org/fast/1035829, Motels -- http://id.worldcat.org/fast/1026838 |||||||||||Exterior|||1986|||
|pho003874|||||||||||unlit|day|Neon Sign -- http://id.worldcat.org/fast/1035830, Neon Lighting -- http://id.worldcat.org/fast/1035826, Neon Sculpture – http://id.worldcat.org/fast/1035829, Restaurant -- http://id.worldcat.org/fast/1095907|||||||||||Exterior|||1986|||
|pho003875|||||||||||lit|night|Neon Sign -- http://id.worldcat.org/fast/1035830, Neon Lighting -- http://id.worldcat.org/fast/1035826, Neon Sculpture – http://id.worldcat.org/fast/1035829, Restaurant -- http://id.worldcat.org/fast/1095907|||||||||||Exterior|||1986|||
|pho003876|||||||||||lit|night|Neon Sign -- http://id.worldcat.org/fast/1035830, Neon Lighting -- http://id.worldcat.org/fast/1035826, Neon Sculpture – http://id.worldcat.org/fast/1035829, Restaurant -- http://id.worldcat.org/fast/1095907|||||||||||Exterior|||1986|||
|pho003877|||||||||||lit|night|Neon Sign -- http://id.worldcat.org/fast/1035830, Neon Lighting -- http://id.worldcat.org/fast/1035826, Neon Sculpture – http://id.worldcat.org/fast/1035829, Restaurant -- http://id.worldcat.org/fast/1095907|||||||||||Exterior|||1986|||
|pho003878|||||||||||lit|night|Neon Sign -- http://id.worldcat.org/fast/1035830, Neon Lighting -- http://id.worldcat.org/fast/1035826, Neon Sculpture – http://id.worldcat.org/fast/1035829, Restaurant -- http://id.worldcat.org/fast/1095907|||||||||||Exterior|||1986|||
|pho003879|||||||||||lit|night|Neon Sign -- http://id.worldcat.org/fast/1035830, Neon Lighting -- http://id.worldcat.org/fast/1035826, Neon Sculpture – http://id.worldcat.org/fast/1035829, Restaurant -- http://id.worldcat.org/fast/1095907|||||||||||Exterior|||1986|||
|pho003880|||||||||||lit|night|Neon Sign -- http://id.worldcat.org/fast/1035830, Neon Lighting -- http://id.worldcat.org/fast/1035826, Neon Sculpture – http://id.worldcat.org/fast/1035829, Restaurant -- http://id.worldcat.org/fast/1095907|||||||||||Exterior|||1986|||
|pho003881|||||||||||lit|night|Neon Sign -- http://id.worldcat.org/fast/1035830, Neon Lighting -- http://id.worldcat.org/fast/1035826, Neon Sculpture – http://id.worldcat.org/fast/1035829, Motels -- http://id.worldcat.org/fast/1026838 |||||||||||Exterior|||1986|||
|pho003882|||||||||||lit|night|Neon Sign -- http://id.worldcat.org/fast/1035830, Neon Lighting -- http://id.worldcat.org/fast/1035826, Neon Sculpture – http://id.worldcat.org/fast/1035829, Bars (Drinking establishments) -- http://id.worldcat.org/fast/827779|||||||||||Exterior|||1986|||
|pho003883|||||||||||lit|night|Neon Sign -- http://id.worldcat.org/fast/1035830, Neon Lighting -- http://id.worldcat.org/fast/1035826, Neon Sculpture – http://id.worldcat.org/fast/1035829, Bars (Drinking establishments) -- http://id.worldcat.org/fast/827779|||||||||||Exterior|||1986|||
|pho003884|||||||||||lit|night|Neon Sign -- http://id.worldcat.org/fast/1035830, Neon Lighting -- http://id.worldcat.org/fast/1035826, Neon Sculpture – http://id.worldcat.org/fast/1035829, Motels -- http://id.worldcat.org/fast/1026838 |||||||||||Exterior|||1986|||
|pho003885|||||||||||lit|night|Neon Sign -- http://id.worldcat.org/fast/1035830, Neon Lighting -- http://id.worldcat.org/fast/1035826, Neon Sculpture – http://id.worldcat.org/fast/1035829, Motels -- http://id.worldcat.org/fast/1026838 |||||||||||Exterior|||1986|||
|pho003886|||||||||||lit|night|Neon Sign -- http://id.worldcat.org/fast/1035830, Neon Lighting -- http://id.worldcat.org/fast/1035826, Neon Sculpture – http://id.worldcat.org/fast/1035829, Motels -- http://id.worldcat.org/fast/1026838 |||||||||||Exterior|||1986|||
|pho003887|||||||||||lit|night|Neon Sign -- http://id.worldcat.org/fast/1035830, Neon Lighting -- http://id.worldcat.org/fast/1035826, Neon Sculpture – http://id.worldcat.org/fast/1035829, Motels -- http://id.worldcat.org/fast/1026838 |||||||||||Exterior|||1986|||
|pho003888|||||||||||lit|night|Neon Sign -- http://id.worldcat.org/fast/1035830, Neon Lighting -- http://id.worldcat.org/fast/1035826, Neon Sculpture – http://id.worldcat.org/fast/1035829, Motels -- http://id.worldcat.org/fast/1026838 |||||||||||Exterior|||1986|||
|pho003889|||||||||||lit|night|Neon Sign -- http://id.worldcat.org/fast/1035830, Neon Lighting -- http://id.worldcat.org/fast/1035826, Neon Sculpture – http://id.worldcat.org/fast/1035829, Motels -- http://id.worldcat.org/fast/1026838 |||||||||||Exterior|||1986|||
|pho003890|||||||||||lit|night|Neon Sign -- http://id.worldcat.org/fast/1035830, Neon Lighting -- http://id.worldcat.org/fast/1035826, Neon Sculpture – http://id.worldcat.org/fast/1035829, Motels -- http://id.worldcat.org/fast/1026838 |||||||||||Exterior|||1986|||
|pho003891|||||||||||lit|night|Neon Sign -- http://id.worldcat.org/fast/1035830, Neon Lighting -- http://id.worldcat.org/fast/1035826, Neon Sculpture – http://id.worldcat.org/fast/1035829, Motels -- http://id.worldcat.org/fast/1026838 |||||||||||Exterior|||1986|||
|pho003892|||||||||||lit|night|Neon Sign -- http://id.worldcat.org/fast/1035830, Neon Lighting -- http://id.worldcat.org/fast/1035826, Neon Sculpture – http://id.worldcat.org/fast/1035829, Motels -- http://id.worldcat.org/fast/1026838 |||||||||||Exterior|||1986|||
|pho003893|||||||||||lit|night|Neon Sign -- http://id.worldcat.org/fast/1035830, Neon Lighting -- http://id.worldcat.org/fast/1035826, Neon Sculpture – http://id.worldcat.org/fast/1035829, Restaurant -- http://id.worldcat.org/fast/1095907|||||||||||Exterior|||1986|||
|pho003894|||||||||||unlit|day|Neon Sign -- http://id.worldcat.org/fast/1035830, Neon Lighting -- http://id.worldcat.org/fast/1035826, Neon Sculpture – http://id.worldcat.org/fast/1035829, Motels -- http://id.worldcat.org/fast/1026838 |||||||||||Exterior|||1986|||
|pho003895|||||||||||lit|night|Neon Sign -- http://id.worldcat.org/fast/1035830, Neon Lighting -- http://id.worldcat.org/fast/1035826, Neon Sculpture – http://id.worldcat.org/fast/1035829, Motels -- http://id.worldcat.org/fast/1026838 |||||||||||Exterior|||1986|||
|pho003896|||||||||||lit|night|Neon Sign -- http://id.worldcat.org/fast/1035830, Neon Lighting -- http://id.worldcat.org/fast/1035826, Neon Sculpture – http://id.worldcat.org/fast/1035829, Motels -- http://id.worldcat.org/fast/1026838 |||||||||||Exterior|||1986|||
|pho003897|||||||||||unlit|day|Neon Sign -- http://id.worldcat.org/fast/1035830, Neon Lighting -- http://id.worldcat.org/fast/1035826, Neon Sculpture – http://id.worldcat.org/fast/1035829, Motels -- http://id.worldcat.org/fast/1026838 |||||||||||Exterior|||1986|||
|pho003898|||||||||||unlit|day|Neon Sign -- http://id.worldcat.org/fast/1035830, Neon Lighting -- http://id.worldcat.org/fast/1035826, Neon Sculpture – http://id.worldcat.org/fast/1035829, Motels -- http://id.worldcat.org/fast/1026838 |||||||||||Exterior|||1986|||
|pho003899|||||||||||unlit|day|Neon Sign -- http://id.worldcat.org/fast/1035830, Neon Lighting -- http://id.worldcat.org/fast/1035826, Neon Sculpture – http://id.worldcat.org/fast/1035829, Motels -- http://id.worldcat.org/fast/1026838 |||||||||||Exterior|||1986|||
|pho003900|||||||||||unlit|day|Neon Sign -- http://id.worldcat.org/fast/1035830, Neon Lighting -- http://id.worldcat.org/fast/1035826, Neon Sculpture – http://id.worldcat.org/fast/1035829, Motels -- http://id.worldcat.org/fast/1026838 |||||||||||Exterior|||1986|||
|pho003901|||||||||||unlit|day|Neon Sign -- http://id.worldcat.org/fast/1035830, Neon Lighting -- http://id.worldcat.org/fast/1035826, Neon Sculpture – http://id.worldcat.org/fast/1035829, Motels -- http://id.worldcat.org/fast/1026838 |||||||||||Exterior|||1986|||
