timestamp|did|unr-file-name|unr-title|unr-desc|creator|date-inst|site-name|site-address|lat-lon|sign-manf|sign-owner|lit-unlit|time-day|subj-fast|print-pub|rights|format|dcmi|prov|proj-name|unr-cit|corr-guide|dig-pub|contrib|int-ext|rights-owner|date-img|BLANK28
|NNN000707-003|||||||||||||||||||||||||||
"7/15/2021 18:50"|NNN000708|"DSC_0940.Trip2.JPG; DSC_0941.Trip2.JPG; DSC_0942.Trip2.JPG; DSC_0127.Trip3.JPG; DSC_0128.Trip3.JPG"|"Mid-Town Motel mounted sign, Elko, Nevada"|"<p>View of the Mid-Town Motel sign at night and during the day.</p>"|"Durham, Will"|XXXX||"294 Idaho St, Elko, NV 89801"|"40.8305834, -115.7647541"|||"lit, unlit"|"day, night"|"Neon Sign -- http://id.worldcat.org/fast/1035830, Neon Lighting -- http://id.worldcat.org/fast/1035826, Neon Sculpture -- http://id.worldcat.org/fast/1035829, Motels -- http://id.worldcat.org/fast/1026838"||https://creativecommons.org/licenses/by/4.0/|image/jpeg|image|"Digitized materials: physical originals are not held by UNLV Special Collections and Archives"|"Northern Nevada Neon"|"(TBD by UNLV)"|"(TBD by UNLV)"|"University of Nevada, Las Vegas University Libraries"||Exterior|||2016~/2020~
|NNN000708-001|||||||||||||||||||||||||||
|NNN000708-002|||||||||||||||||||||||||||
|NNN000708-003|||||||||||||||||||||||||||
|NNN000708-004|||||||||||||||||||||||||||
|NNN000708-005|||||||||||||||||||||||||||
"7/15/2021 19:12"|NNN000709|"DSC_0277.Trip2.JPG; DSC_0278.Trip2.JPG; DSC_0280.Trip2.JPG; DSC_0281.Trip2.JPG; DSC_0282.Trip2.JPG"|"Moonlite BunnyRanch wall mounted and electric signs, Carson City, Nevada"|"<p>Views of the wall mounted neon sign for the Moonlite BunnyRanch at dusk with lit neon, including views of the electrical signs advertising the bar and restaurant.</p>"|"Durham, Will"|1955||"69 Moonlight Rd, Carson City, NV 89706"|"39.2187421, -119.6708399"|||lit|dusk|"Neon Sign -- http://id.worldcat.org/fast/1035830, Neon Lighting -- http://id.worldcat.org/fast/1035826, Neon Sculpture -- http://id.worldcat.org/fast/1035829, Brothels -- http://id.worldcat.org/fast/1765181, Bars (Drinking establishments) -- http://id.worldcat.org/fast/827779, Restaurant -- http://id.worldcat.org/fast/1095907"||https://creativecommons.org/licenses/by/4.0/|image/jpeg|image|"Digitized materials: physical originals are not held by UNLV Special Collections and Archives"|"Northern Nevada Neon"|"(TBD by UNLV)"|"(TBD by UNLV)"|"University of Nevada, Las Vegas University Libraries"||Exterior|||2016~/2020~
|NNN000709-001|||||||||||||||||||||||||||
|NNN000709-002|||||||||||||||||||||||||||
|NNN000709-003|||||||||||||||||||||||||||
|NNN000709-004|||||||||||||||||||||||||||
|NNN000709-005|||||||||||||||||||||||||||
"7/15/2021 19:26"|NNN000710|"DSC_0173.Trip2.JPG; DSC_0174.Trip2.JPG; DSC_0177.Trip2.JPG"|"National Bowling Stadium wall mounted signs, Reno, Nevada"|"<p>View of the National Bowling Stadium wall mounted signs during the day with unlit neon.</p>"|"Durham, Will"|1995||"300 N Center St, Reno, NV 89501"|"39.5297036, -119.8122857"|||unlit|day|"Neon Sign -- http://id.worldcat.org/fast/1035830, Neon Lighting -- http://id.worldcat.org/fast/1035826, Neon Sculpture -- http://id.worldcat.org/fast/1035829"||https://creativecommons.org/licenses/by/4.0/|image/jpeg|image|"Digitized materials: physical originals are not held by UNLV Special Collections and Archives"|"Northern Nevada Neon"|"(TBD by UNLV)"|"(TBD by UNLV)"|"University of Nevada, Las Vegas University Libraries"||Exterior|||2016~/2020~
|NNN000710-001|||||||||||||||||||||||||||
|NNN000710-002|||||||||||||||||||||||||||
|NNN000710-003|||||||||||||||||||||||||||
"7/15/2021 19:59"|NNN000711|"DSC_0230.Trip2.JPG; DSC_0231.Trip2.JPG"|"Old Globe Saloon flag mounted wall sign, Carson City, Nevada"|"<p>View of the Old Globe Saloon during the day with lit neon. The saloon was originally built in 1875.</p>"|"Durham, Will"|XXXX||"407 N Curry St, Carson City, NV 89703"|"39.1661768, -119.7676096"|||lit|day|"Neon Sign -- http://id.worldcat.org/fast/1035830, Neon Lighting -- http://id.worldcat.org/fast/1035826, Neon Sculpture -- http://id.worldcat.org/fast/1035829, Bars (Drinking establishments) -- http://id.worldcat.org/fast/827779"||https://creativecommons.org/licenses/by/4.0/|image/jpeg|image|"Digitized materials: physical originals are not held by UNLV Special Collections and Archives"|"Northern Nevada Neon"|"(TBD by UNLV)"|"(TBD by UNLV)"|"University of Nevada, Las Vegas University Libraries"||Exterior|||2016~/2020~
|NNN000711-001|||||||||||||||||||||||||||
|NNN000711-002|||||||||||||||||||||||||||
"7/15/2021 20:19"|NNN000712|"DSC_0065.Trip2.JPG; DSC_0066.Trip2.JPG; DSC_0519.Trip2.JPG; DSC_0520.Trip2.JPG"|"Olympic Hotel flag mounted roof sign, Reno, Nevada"|"<p>View of the roof mounted sign for the Olympic Hotel during the day with unlit neon.</p>"|"Durham, Will"|XXXX||||||unlit|day|"Neon Sign -- http://id.worldcat.org/fast/1035830, Neon Lighting -- http://id.worldcat.org/fast/1035826, Neon Sculpture -- http://id.worldcat.org/fast/1035829, Hotels -- http://id.worldcat.org/fast/961767"||https://creativecommons.org/licenses/by/4.0/|image/jpeg|image|"Digitized materials: physical originals are not held by UNLV Special Collections and Archives"|"Northern Nevada Neon"|"(TBD by UNLV)"|"(TBD by UNLV)"|"University of Nevada, Las Vegas University Libraries"||Exterior|||2016~/2020~
|NNN000712-001|||||||||||||||||||||||||||
|NNN000712-002|||||||||||||||||||||||||||
|NNN000712-003|||||||||||||||||||||||||||
|NNN000712-004|||||||||||||||||||||||||||
"7/15/2021 20:39"|NNN000713|"DSC_0777.Trip2.JPG; DSC_0792.Trip2.JPG; DSC_0794.Trip2.JPG"|"Owl Club Casino & Restaurant flag mounted wall sign, Battle Mountain, Nevada"|"<p>View of the flag mounted wall sign for the Owl Club Casino & Restaurant during the day with unlit neon.</p>"|"Durham, Will"|XXXX||"72 E Front St, Battle Mountain, NV 89820"|"40.6414153, -116.9342091"|||unlit|day|"Neon Sign -- http://id.worldcat.org/fast/1035830, Neon Lighting -- http://id.worldcat.org/fast/1035826, Neon Sculpture -- http://id.worldcat.org/fast/1035829, Casinos -- http://id.worldcat.org/fast/848246, Restaurant -- http://id.worldcat.org/fast/1095907"||https://creativecommons.org/licenses/by/4.0/|image/jpeg|image|"Digitized materials: physical originals are not held by UNLV Special Collections and Archives"|"Northern Nevada Neon"|"(TBD by UNLV)"|"(TBD by UNLV)"|"University of Nevada, Las Vegas University Libraries"||Exterior|||2016~/2020~
|NNN000713-001|||||||||||||||||||||||||||
|NNN000713-002|||||||||||||||||||||||||||
|NNN000713-003|||||||||||||||||||||||||||
"7/15/2021 20:48"|NNN000714|"DSC_0779.Trip2.JPG; DSC_0781.Trip2.JPG; DSC_0786.Trip2.JPG; DSC_0787.Trip2.JPG"|"Owl Club Casino & Restaurant wall mounted signs, Battle Mountain, Nevada"|"<p>View of the wall mounted signs for the Owl Club Casino & Restaurant during the day with unlit neon.</p>"|"Durham, Will"|XXXX||"72 E Front St, Battle Mountain, NV 89820"|"40.6414153, -116.9342091"|||unlit|day|"Neon Sign -- http://id.worldcat.org/fast/1035830, Neon Lighting -- http://id.worldcat.org/fast/1035826, Neon Sculpture -- http://id.worldcat.org/fast/1035829, Casinos -- http://id.worldcat.org/fast/848246, Restaurant -- http://id.worldcat.org/fast/1095907"||https://creativecommons.org/licenses/by/4.0/|image/jpeg|image|"Digitized materials: physical originals are not held by UNLV Special Collections and Archives"|"Northern Nevada Neon"|"(TBD by UNLV)"|"(TBD by UNLV)"|"University of Nevada, Las Vegas University Libraries"||Exterior|||2016~/2020~
|NNN000714-001|||||||||||||||||||||||||||
|NNN000714-002|||||||||||||||||||||||||||
|NNN000714-003|||||||||||||||||||||||||||
|NNN000714-004|||||||||||||||||||||||||||
