timestamp,did,unr-file-name,unr-title,unr-desc,creator,date-inst,site-name,site-address,lat-lon,sign-manf,sign-owner,lit-unlit,time-day,subj-fast,print-pub,rights,format,dcmi,prov,proj-name,unr-cit,corr-guide,dig-pub,contrib,int-ext,rights-owner,date-img
,NNN000642-004,,,,,,,,,,,,,,,,,,,,,,,,,,
,NNN000642-005,,,,,,,,,,,,,,,,,,,,,,,,,,
7/7/2021 7:51:17,NNN000643,DSC_0108.Trip2.JPG; DSC_0109.Trip2.JPG,"Castaway Inn flag mounted wall sign, Reno, Nevada","<p>View of the wall mounted sign for the Colt Inn Casino during the day with unlit neon.</p><p>654 W Front St, Battle Mountain, NV 89820</p></br>","Durham, Will",XXXX,,"<p>525 W 2nd St, Reno, NV 89503</p>",,,,unlit,day,"Neon Sign -- http://id.worldcat.org/fast/1035830, Neon Lighting -- http://id.worldcat.org/fast/1035826, Neon Sculpture -- http://id.worldcat.org/fast/1035829, Motels -- http://id.worldcat.org/fast/1026838",,https://creativecommons.org/licenses/by-nc/4.0/,image/jpeg,image,Digitized materials: physical originals are not held by UNLV Special Collections and Archives,Northern Nevada Neon,(TBD by UNLV),(TBD by UNLV),"University of Nevada, Las Vegas University Libraries",,Exterior,Will Durham,2016~/2020~
,NNN000643-001,,,,,,,,,,,,,,,,,,,,,,,,,,
,NNN000643-002,,,,,,,,,,,,,,,,,,,,,,,,,,
7/7/2021 8:32:03,NNN000644,DSC_0814.Trip2.JPG; DSC_0815.Trip2.JPG; DSC_0820.Trip2.JPG; DSC_0823.Trip2.JPG; DSC_0825.Trip2.JPG; DSC_0838.Trip2.JPG; DSC_0844.Trip2.JPG; DSC_0854.Trip2.JPG; DSC_0855.Trip2.JPG; DSC_0018.Trip3.JPG; DSC_0019.Trip3.JPG; DSC_0031.Trip3.JPG,"Centre Motel mounted sign, Elko, Nevada","<p>View of the double mounted sign for the Colt Casino during the day with unlit neon.</p><p>654 W Front St, Battle Mountain, NV 89820</p></br>","Durham, Will",XXXX,,"<p>475 3rd St, Elko, NV 89801</p>",,,,"lit, unlit","day, night","Neon Sign -- http://id.worldcat.org/fast/1035830, Neon Lighting -- http://id.worldcat.org/fast/1035826, Neon Sculpture -- http://id.worldcat.org/fast/1035829, Motels -- http://id.worldcat.org/fast/1026838",,https://creativecommons.org/licenses/by-nc/4.0/,image/jpeg,image,Digitized materials: physical originals are not held by UNLV Special Collections and Archives,Northern Nevada Neon,(TBD by UNLV),(TBD by UNLV),"University of Nevada, Las Vegas University Libraries",,Exterior,Will Durham,2016~/2020~
,NNN000644-001,,,,,,,,,,,,,,,,,,,,,,,,,,
,NNN000644-002,,,,,,,,,,,,,,,,,,,,,,,,,,
,NNN000644-003,,,,,,,,,,,,,,,,,,,,,,,,,,
,NNN000644-004,,,,,,,,,,,,,,,,,,,,,,,,,,
,NNN000644-005,,,,,,,,,,,,,,,,,,,,,,,,,,
,NNN000644-006,,,,,,,,,,,,,,,,,,,,,,,,,,
,NNN000644-007,,,,,,,,,,,,,,,,,,,,,,,,,,
,NNN000644-008,,,,,,,,,,,,,,,,,,,,,,,,,,
,NNN000644-009,,,,,,,,,,,,,,,,,,,,,,,,,,
,NNN000644-010,,,,,,,,,,,,,,,,,,,,,,,,,,
,NNN000644-011,,,,,,,,,,,,,,,,,,,,,,,,,,
,NNN000644-012,,,,,,,,,,,,,,,,,,,,,,,,,,
7/7/2021 9:16:37,NNN000645,DSC_0914.Trip2.JPG;  DSC_0011.Trip3.JPG; DSC_0013.Trip3.JPG; DSC_0014.Trip3.JPG,"Centre Motel roof mounted sign, Elko, Nevada","<p>View of a wall mounted sign for the Comstock Casino during the day with unlit neon.</p><p>3680 Goni Rd # 1, Carson City, NV 89706</p></br>","Durham, Will",XXXX,,"<p>475 3rd St, Elko, NV 89801</p>",,,,"lit, unlit","day, night","Neon Sign -- http://id.worldcat.org/fast/1035830, Neon Lighting -- http://id.worldcat.org/fast/1035826, Neon Sculpture -- http://id.worldcat.org/fast/1035829, Motels -- http://id.worldcat.org/fast/1026838",,https://creativecommons.org/licenses/by-nc/4.0/,image/jpeg,image,Digitized materials: physical originals are not held by UNLV Special Collections and Archives,Northern Nevada Neon,(TBD by UNLV),(TBD by UNLV),"University of Nevada, Las Vegas University Libraries",,Exterior,Will Durham,2016~/2020~
,NNN000645-001,,,,,,,,,,,,,,,,,,,,,,,,,,
,NNN000645-002,,,,,,,,,,,,,,,,,,,,,,,,,,
,NNN000645-003,,,,,,,,,,,,,,,,,,,,,,,,,,
,NNN000645-004,,,,,,,,,,,,,,,,,,,,,,,,,,
7/7/2021 9:46:49,NNN000646,DSC_0945.Trip2.JPG; DSC_0946.Trip2.JPG; DSC_0947.Trip2.JPG; DSC_0949.Trip2.JPG; DSC_0106.Trip3.JPG,"Chilton Centennial Tower, Elko, Nevada","<p>View of  the mounted sign for the Comstock Casino during the day with unlit neon.</p><p>3680 Goni Rd # 1, Carson City, NV 89706</p></br>","Durham, Will",2017,,,,,,"lit, unlit","day, night","Neon Sign -- http://id.worldcat.org/fast/1035830, Neon Lighting -- http://id.worldcat.org/fast/1035826, Neon Sculpture -- http://id.worldcat.org/fast/1035829",,https://creativecommons.org/licenses/by-nc/4.0/,image/jpeg,image,Digitized materials: physical originals are not held by UNLV Special Collections and Archives,Northern Nevada Neon,(TBD by UNLV),(TBD by UNLV),"University of Nevada, Las Vegas University Libraries",,Exterior,Will Durham,2016~/2020~
,NNN000646-001,,,,,,,,,,,,,,,,,,,,,,,,,,
,NNN000646-002,,,,,,,,,,,,,,,,,,,,,,,,,,
,NNN000646-003,,,,,,,,,,,,,,,,,,,,,,,,,,
,NNN000646-004,,,,,,,,,,,,,,,,,,,,,,,,,,
,NNN000646-005,,,,,,,,,,,,,,,,,,,,,,,,,,
7/7/2021 10:21:16,NNN000647,DSC_0021.Trip2.JPG; DSC_0022.Trip2.JPG; DSC_0048.Trip2.JPG; DSC_0049.Trip2.JPG,"Chocolate Walrus flag mounted wall sign, Reno, Nevada","<p>View of the wall mounted signs for the Coney Island Bar during the day with unlit neon.</p><p>2644 Prater Way, Sparks, NV 89431</p></br>","Durham, Will",2004,,"<p>1278 S Virginia St, Reno, NV 89502</p>",,,,"lit, unlit","day, dusk","Neon Sign -- http://id.worldcat.org/fast/1035830, Neon Lighting -- http://id.worldcat.org/fast/1035826, Neon Sculpture -- http://id.worldcat.org/fast/1035829",,https://creativecommons.org/licenses/by-nc/4.0/,image/jpeg,image,Digitized materials: physical originals are not held by UNLV Special Collections and Archives,Northern Nevada Neon,(TBD by UNLV),(TBD by UNLV),"University of Nevada, Las Vegas University Libraries",,Exterior,Will Durham,2020
,NNN000647-001,,,,,,,,,,,,,,,,,,,,,,,,,,
,NNN000647-002,,,,,,,,,,,,,,,,,,,,,,,,,,
,NNN000647-003,,,,,,,,,,,,,,,,,,,,,,,,,,
,NNN000647-004,,,,,,,,,,,,,,,,,,,,,,,,,,
7/7/2021 10:52:51,NNN000648,DSC_0167.Trip2.JPG,"Circus Circus clown sign, Reno, Nevada","<p>View of the mounted signs for the Copenhagen bar, including detail shots of the electric sign during the day with unlit neon.</p><p>2140 Prater Way, Sparks, NV 89431</p></br>","Durham, Will",XXXX,,"<p>500 N Sierra St, Reno, NV 89503</p>",,,,unlit,day,"Neon Sign -- http://id.worldcat.org/fast/1035830, Neon Lighting -- http://id.worldcat.org/fast/1035826, Neon Sculpture -- http://id.worldcat.org/fast/1035829, Casinos -- http://id.worldcat.org/fast/848246, Hotels -- http://id.worldcat.org/fast/961767",,https://creativecommons.org/licenses/by-nc/4.0/,image/jpeg,image,Digitized materials: physical originals are not held by UNLV Special Collections and Archives,Northern Nevada Neon,(TBD by UNLV),(TBD by UNLV),"University of Nevada, Las Vegas University Libraries",,Exterior,Will Durham,2016~/2020`
,NNN000648-001,,,,,,,,,,,,,,,,,,,,,,,,,,
7/7/2021 10:59:16,NNN000649,DSC_0170.Trip2.JPG; DSC_0171.Trip2.JPG,"Circus Circus parking garage sign, Reno, Nevada","<p>View of the flag mounted sign for the Cozy Motel during the day.</p><p>410 E Winnemucca Blvd, Winnemucca, NV 89445</p></br>","Durham, Will",XXXX,,"<p>650 N Sierra St, Reno, NV 89503</p>",,,,unlit,day,"Neon Sign -- http://id.worldcat.org/fast/1035830, Neon Lighting -- http://id.worldcat.org/fast/1035826, Neon Sculpture -- http://id.worldcat.org/fast/1035829, Casinos -- http://id.worldcat.org/fast/848246, Hotels -- http://id.worldcat.org/fast/961767",,https://creativecommons.org/licenses/by-nc/4.0/,image/jpeg,image,Digitized materials: physical originals are not held by UNLV Special Collections and Archives,Northern Nevada Neon,(TBD by UNLV),(TBD by UNLV),"University of Nevada, Las Vegas University Libraries",,Exterior,Will Durham,2016~/2020~
,NNN000649-001,,,,,,,,,,,,,,,,,,,,,,,,,,
,NNN000649-002,,,,,,,,,,,,,,,,,,,,,,,,,,
7/8/2021 8:00:42,NNN000650,DSC_0534.Trip2.JPG; DSC_0535.Trip2.JPG,"City Center Motel mounted sign, Reno, Nevada","<p>View of the D Bar M flag mounted sign during the day.</p><p>1020 E 4th St, Reno, NV 89512</p></br>","Durham, Will",XXXX,,"<p>365 West St, Reno, NV 89501</p>",,,,unlit,day,"Neon Sign -- http://id.worldcat.org/fast/1035830, Neon Lighting -- http://id.worldcat.org/fast/1035826, Neon Sculpture -- http://id.worldcat.org/fast/1035829, Motels -- http://id.worldcat.org/fast/1026838",,https://creativecommons.org/licenses/by-nc/4.0/,image/jpeg,image,Digitized materials: physical originals are not held by UNLV Special Collections and Archives,Northern Nevada Neon,(TBD by UNLV),(TBD by UNLV),"University of Nevada, Las Vegas University Libraries",,Exterior,Will Durham,2016~/2020~
,NNN000650-001,,,,,,,,,,,,,,,,,,,,,,,,,,
,NNN000650-002,,,,,,,,,,,,,,,,,,,,,,,,,,
